Name;District;Municipality;Township;Line
Coimbra B;Coimbra;Coimbra;Eiras e Sao Paulo de Frades;Linha do Norte
Mazagao;Braga;Braga;Celeiros, Aveleda e Vimieiro;Ramal de Braga
Portela;Porto;Trofa;Covelas;Linha do Minho
Mouquim;Braga;Vila Nova de Famalicao;Lemenhe, Mouquim e Jesufrei;Linha do Minho
Castelo Novo;Castelo Branco;Fundao;Castelo Novo;Linha da Beira Baixa
Giesteira;Braga;Guimaraes;Lordelo;Linha de Guimaraes
Seixas;Viana do Castelo;Caminha;Seixas;Linha do Minho
Vermoil;Leiria;Pombal;Santiago e S. Simao de Litem e Albergaria dos Doze;Linha do Norte
Ruilhe;Braga;Braga;Ruilhe;Ramal de Braga
Mato Miranda;Santarem;Golega;Azinhaga;Linha do Norte
Tadim;Braga;Braga;Tadim;Ramal de Braga
Carvalhal da Portela;Aveiro;Agueda;Valongo do Vouga;Linha do Vouga
Fontela;Coimbra;Figueira da Foz;Vila Verde;Linha do Oeste
Ferradosa;Viseu;Sao Joao da Pesqueira;Vale de Figueira;Linha do Douro
Tojeirinha;Castelo Branco;Vila Velha de Rodao;Vila Velha de Rodao;Linha da Beira Baixa
Irivo;Porto;Penafiel;Irivo;Linha do Douro
Martinganca;Leiria;Alcobaca;Pataias e Martinganca;Linha do Oeste
Coimbra;Coimbra;Coimbra;Se Nova, Santa Cruz, Almedina e Sao Bartolomeu;Ramal da Lousa
Sao Romao - A;Porto;Trofa;Coronado (sao Romao e Sao Mamede);Linha do Minho
Pedra Furada;Lisboa;Sintra;Almargem do Bispo, Pero Pinheiro e Montelavar;Linha do Oeste
Gata;Guarda;Guarda;Casal de Cinza;Linha da Beira Alta
Curvaceiras;Santarem;Tomar;Madalena e Beselga;Ramal de Tomar
Rede;Vila Real;Mesao Frio;Vila Marim;Linha do Douro
Madalena;Porto;Vila Nova de Gaia;Madalena;Linha do Norte
Cortegaca;Aveiro;Ovar;Cortegaca;Linha do Norte
Pala;Porto;Baiao;Ancede e Ribadouro;Linha do Douro
Gondarem;Viana do Castelo;Vila Nova de Cerveira;Gondarem;Linha do Minho
Santa Iria;Lisboa;Loures;Santa Iria de Azoia, Sao Joao da Talha e Bobadela;Linha do Norte
Torres Vedras;Lisboa;Torres Vedras;Santa Maria, Sao Pedro e Matacaes;Linha do Oeste
Caldas de Moledo;Vila Real;Peso da Regua;Fontelas;Linha do Douro
Mealhada;Aveiro;Mealhada;Mealhada, Ventosa do Bairro e Antes;Linha do Norte
Travanca-Macinhata;Aveiro;Oliveira de Azemeis;Pinheiro da Bemposta, Travanca e Palmaz;Linha do Vouga
Pombal Resguardo;Leiria;Pombal;Pombal;Linha do Norte
Soure;Coimbra;Soure;Soure;Linha do Norte
Belmonte-Manteigas;Castelo Branco;Belmonte;Belmonte e Colmeal da Torre;Linha da Beira Baixa
Oliveirinha Cabanas;Viseu;Carregal do Sal;Oliveira do Conde;Linha da Beira Alta
Bagauste;Vila Real;Peso da Regua;Poiares e Canelas;Linha do Douro
Tramagal;Santarem;Abrantes;Tramagal;Linha da Beira Baixa
Fanhais;Leiria;Nazare;Nazare;Linha do Oeste
Vila da Feira;Aveiro;Santa Maria da Feira;Santa Maria da Feira, Travanca, Sanfins e Espargo;Linha do Vouga
Bencanta;Coimbra;Coimbra;Sao Martinho do Bispo e Ribeira de Frades;Linha do Norte
Paramos;Aveiro;Espinho;Paramos;Linha do Norte
Carregal do Sal;Viseu;Carregal do Sal;Carregal do Sal;Linha da Beira Alta
Senhora das Dores;Porto;Trofa;Bougado (sao Martinho e Santiago);Linha do Minho
Aguas Santas;Porto;Maia;Aguas Santas;Linha do Minho
Sao Gemil;Porto;Maia;Aguas Santas;Linha de Leixoes
Monte Redondo;Leiria;Leiria;Monte Redondo e Carreira;Linha do Oeste
Barroselas;Viana do Castelo;Viana do Castelo;Barroselas e Carvoeiro;Linha do Minho
Belver;Portalegre;Gaviao;Belver;Linha da Beira Baixa
Faria;Aveiro;Oliveira de Azemeis;Vila de Cucujaes;Linha do Vouga
Escapaes;Aveiro;Santa Maria da Feira;Escapaes;Linha do Vouga
Aguim;Aveiro;Anadia;Tamengos, Aguim e Ois do Bairro;Linha do Norte
Mosteiro;Porto;Baiao;Ancede e Ribadouro;Linha do Douro
Lardosa;Castelo Branco;Castelo Branco;Lardosa;Linha da Beira Baixa
Paul;Leiria;Bombarral;Rolica;Linha do Oeste
Dois Portos;Lisboa;Torres Vedras;Dois Portos e Runa;Linha do Oeste
Recarei - Sobreira;Porto;Paredes;Sobreira;Linha do Douro
Ademia;Coimbra;Coimbra;Trouxemil e Torre de Vilela;Linha do Norte
Canicos;Braga;Vila Nova de Famalicao;Bairro;Linha de Guimaraes
Donas;Castelo Branco;Fundao;Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo;Linha da Beira Baixa
Lapa do Lobo;Viseu;Nelas;Lapa do Lobo;Linha da Beira Alta
Ameal;Coimbra;Coimbra;Taveiro, Ameal e Arzila;Linha do Norte
Regua;Vila Real;Peso da Regua;Peso da Regua e Godim;Linha do Douro
Valadares;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;Linha do Norte
Barracao-Sabugal;Guarda;Guarda;Panoias de Cima;Linha da Beira Baixa
Valado;Leiria;Nazare;Valado dos Frades;Linha do Oeste
Soito;Viseu;Mortagua;Espinho;Linha da Beira Alta
Pinhao;Vila Real;Alijo;Pinhao;Linha do Douro
Campo-Serra;Leiria;Caldas da Rainha;Tornada e Salir do Porto;Linha do Oeste
Pampilhosa;Aveiro;Mealhada;Pampilhosa;Linha do Norte
Evora;Evora;Evora;Malagueira e Horta das Figueiras;Linha de Evora
Bombarral;Leiria;Bombarral;Bombarral e Vale Covo;Linha do Oeste
Arentim;Braga;Braga;Arentim e Cunha;Ramal de Braga
Parada;Porto;Paredes;Parada de Todeia;Linha do Douro
Luz;Faro;Tavira;Luz de Tavira e Santo Estevao;Linha do Algarve
Penteado;Setubal;Moita;Moita;Linha do Alentejo
Portela de Sintra;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;Linha de Sintra
Lavradio;Setubal;Barreiro;Barreiro e Lavradio;Linha do Alentejo
Porto de Sines;Setubal;Sines;Sines;Linha de Sines
Feliteira;Lisboa;Torres Vedras;Dois Portos e Runa;Linha do Oeste
Guimaraes;Braga;Guimaraes;Urgezes;Linha de Guimaraes
Lapa;Aveiro;Santa Maria da Feira;Sao Paio de Oleiros;Linha do Vouga
Oia;Aveiro;Oliveira do Bairro;Oia;Linha do Norte
Suzao;Porto;Valongo;Valongo;Linha do Douro
Virtudes;Lisboa;Azambuja;Aveiras de Baixo;Linha do Norte
Nespereira;Braga;Guimaraes;Nespereira;Linha de Guimaraes
Algoz;Faro;Silves;Algoz e Tunes;Linha do Algarve
Areia - Darque;Viana do Castelo;Viana do Castelo;Darque;Linha do Minho
Lordelo;Braga;Guimaraes;Lordelo;Linha de Guimaraes
Albergaria-a-Nova;Aveiro;Albergaria-a-Velha;Branca;Linha do Vouga
Tortosendo;Castelo Branco;Covilha;Tortosendo;Linha da Beira Baixa
Casais;Coimbra;Coimbra;Sao Martinho do Bispo e Ribeira de Frades;Linha do Norte
Cela;Leiria;Alcobaca;Cela;Linha do Oeste
Rodao;Castelo Branco;Vila Velha de Rodao;Vila Velha de Rodao;Linha da Beira Baixa
Carrico;Leiria;Pombal;Carrico;Linha do Oeste
Espadanal da Azambuja;Lisboa;Azambuja;Vila Nova da Rainha;Linha do Norte
Couto de Cambeses;Braga;Barcelos;Cambeses;Ramal de Braga
Parede;Lisboa;Cascais;Carcavelos e Parede;Linha de Cascais
Vesuvio;Guarda;Vila Nova de Foz Coa;Numao;Linha do Douro
Fundao;Castelo Branco;Fundao;Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo;Linha da Beira Baixa
Sao Martinho do Porto;Leiria;Alcobaca;Sao Martinho do Porto;Linha do Oeste
Quinta do Valongo - Vacarica;Aveiro;Mealhada;Vacarica;Linha da Beira Alta
Oleiros;Porto;Penafiel;Guilhufe e Urro;Linha do Douro
Alhandra;Lisboa;Vila Franca de Xira;Alhandra, Sao Joao dos Montes e Calhandriz;Linha do Norte
Areosa;Viana do Castelo;Viana do Castelo;Areosa;Linha do Minho
Vale de Figueira;Santarem;Santarem;Sao Vicente do Paul e Vale de Figueira;Linha do Norte
Juncal;Porto;Marco de Canaveses;Paredes de Viadores e Manhuncelos;Linha do Douro
Sao Martinho do Campo;Porto;Valongo;Campo e Sobrado;Linha do Douro
Paialvo;Santarem;Tomar;Madalena e Beselga;Linha do Norte
Vilela - Fornos;Coimbra;Coimbra;Trouxemil e Torre de Vilela;Linha do Norte
Leandro;Porto;Maia;Sao Pedro Fins;Linha do Minho
Vila Nova da Cerveira;Viana do Castelo;Vila Nova de Cerveira;Vila Nova de Cerveira e Lovelhe;Linha do Minho
Vargelas;Viseu;Sao Joao da Pesqueira;Vale de Figueira;Linha do Douro
Noemi;Guarda;Almeida;Miuzela e Porto de Ovelha;Linha da Beira Alta
Alcaide;Castelo Branco;Fundao;Alcaide;Linha da Beira Baixa
Pinhel;Guarda;Pinhel;Alverca da Beira/bouca Cova;Linha da Beira Alta
Soalheira;Castelo Branco;Fundao;Castelo Novo;Linha da Beira Baixa
Regueira de Pontes;Leiria;Leiria;Regueira de Pontes;Linha do Oeste
Mouriscas-A;Santarem;Abrantes;Mouriscas;Linha da Beira Baixa
Carcavelos;Lisboa;Cascais;Carcavelos e Parede;Linha de Cascais
Oeiras;Lisboa;Oeiras;Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias;Linha de Cascais
Leca do Balio;Porto;Matosinhos;Custoias, Leca do Balio e Guifoes;Linha de Leixoes
Barrimau;Braga;Vila Nova de Famalicao;Vila Nova de Famalicao e Calendario;Linha do Minho
Portalegre;Portalegre;Portalegre;Urra;Linha do Leste
Sao Mamede;Leiria;Bombarral;Rolica;Linha do Oeste
Telhada;Coimbra;Figueira da Foz;Paiao;Linha do Oeste
Sao Mamede do Tua;Vila Real;Alijo;Castedo e Cotas;Linha do Douro
Mouriscas;Santarem;Abrantes;Mouriscas;Linha da Beira Baixa
Ermesinde - a;Porto;Valongo;Ermesinde;Linha do Douro
Bicanho;Coimbra;Soure;Samuel;Linha do Oeste
Caldas da Rainha;Leiria;Caldas da Rainha;Nossa Senhora do Populo, Coto e Sao Gregorio;Linha do Oeste
Luso Bucaco;Aveiro;Mealhada;Luso;Linha da Beira Alta
Barquinha;Santarem;Vila Nova da Barquinha;Vila Nova da Barquinha;Linha da Beira Baixa
Lares;Coimbra;Figueira da Foz;Vila Verde;Linha do Oeste
Ramalhal;Lisboa;Torres Vedras;Ramalhal;Linha do Oeste
Carrascal-Delongo;Santarem;Tomar;Paialvo;Ramal de Tomar
Gouveia;Viseu;Mangualde;Abrunhosa-a-Velha;Linha da Beira Alta
Zibreira;Lisboa;Sobral de Monte Agraco;Sobral de Monte Agraco;Linha do Oeste
Santo Amaro;Lisboa;Oeiras;Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias;Linha de Cascais
Barqueiros;Vila Real;Mesao Frio;Barqueiros;Linha do Douro
Cabeda;Porto;Valongo;Alfena;Linha do Douro
Fratel;Castelo Branco;Vila Velha de Rodao;Fratel;Linha da Beira Baixa
Assumar;Portalegre;Monforte;Assumar;Linha do Leste
Marvila;Lisboa;Lisboa;Marvila;Linha de Cintura
Sabugo;Lisboa;Sintra;Almargem do Bispo, Pero Pinheiro e Montelavar;Linha do Oeste
Aldeia;Guarda;Almeida;Castelo Bom;Linha da Beira Alta
Alcaria;Castelo Branco;Fundao;Alcaria;Linha da Beira Baixa
Bouro;Leiria;Caldas da Rainha;Tornada e Salir do Porto;Linha do Oeste
Cerdeira;Guarda;Sabugal;Cerdeira;Linha da Beira Alta
Alpedrinha;Castelo Branco;Fundao;Alpedrinha;Linha da Beira Baixa
Dagorda - Peniche;Leiria;Obidos;Santa Maria, Sao Pedro e Sobral da Lagoa;Linha do Oeste
Bifurcacao do Luso;Aveiro;Mealhada;Luso;Linha da Beira Alta
Cais do Sodre;Lisboa;Lisboa;Misericordia;Linha de Cascais
Bemposta;Santarem;Abrantes;Sao Facundo e Vale de Mos;Linha do Leste
Monte Estoril;Lisboa;Cascais;Cascais e Estoril;Linha de Cascais
Fontela-A;Coimbra;Figueira da Foz;Vila Verde;Linha do Oeste
Retaxo;Castelo Branco;Castelo Branco;Cebolais de Cima e Retaxo;Linha da Beira Baixa
Outeiro;Lisboa;Torres Vedras;Campelos e Outeiro da Cabeca;Linha do Oeste
Torre das Vargens;Portalegre;Ponte de Sor;Ponte de Sor, Tramaga e Vale de Acor;Linha do Leste
Fazenda;Portalegre;Ponte de Sor;Ponte de Sor, Tramaga e Vale de Acor;Linha do Leste
Carvalhos de Figueiredo;Santarem;Tomar;Madalena e Beselga;Ramal de Tomar
Guia;Leiria;Pombal;Guia, Ilha e Mata Mourisca;Linha do Oeste
Contencas;Viseu;Mangualde;Santiago de Cassurraes e Povoa de Cervaes;Linha da Beira Alta
Jerumelo;Lisboa;Sobral de Monte Agraco;Sapataria;Linha do Oeste
Torre da Gadanha;Evora;Montemor-o-Novo;Sao Cristovao;Linha do Alentejo
Bombel;Evora;Vendas Novas;Vendas Novas;Linha do Alentejo
Rio Meao;Aveiro;Santa Maria da Feira;Rio Meao;Linha do Vouga
Roma - Areeiro;Lisboa;Lisboa;Alvalade;Linha de Cintura
Entrecampos - Poente;Lisboa;Lisboa;Avenidas Novas;Linha de Cintura
Sete Rios;Lisboa;Lisboa;Sao Domingos de Benfica;Linha de Cintura
Boliqueime;Faro;Loule;Boliqueime;Linha do Algarve
Santo Tirso;Porto;Santo Tirso;St. Tirso, Couto (s. Cristina e S. Miguel) e Burgaes;Linha de Guimaraes
Urgueiras;Aveiro;Albergaria-a-Velha;Albergaria-a-Velha e Valmaior;Linha do Vouga
Chelas;Lisboa;Lisboa;Beato;Linha de Cintura
Alcantara-Mar;Lisboa;Lisboa;Estrela;Linha de Cascais
Penalva;Setubal;Palmela;Quinta do Anjo;Linha do Sul
Alcantara-Terra;Lisboa;Lisboa;Estrela;Linha de Cintura
Ferragudo;Faro;Lagoa;Estombar e Parchal;Linha do Algarve
Cuba;Beja;Cuba;Cuba;Linha do Alentejo
Mata;Portalegre;Alter do Chao;Chancelaria;Linha do Leste
Alvito;Beja;Alvito;Alvito;Linha do Alentejo
Vila Nova da Baronia;Beja;Alvito;Vila Nova da Baronia;Linha do Alentejo
Sao Joao das Craveiras;Setubal;Montijo;Pegoes;Linha do Alentejo
Moita;Setubal;Moita;Moita;Linha do Alentejo
Agualva-Cacem;Lisboa;Sintra;Agualva e Mira-Sintra;Linha de Sintra
Beja;Beja;Beja;Beja (salvador e Santa Maria da Feira);Linha do Alentejo
Panoias;Beja;Ourique;Panoias e Conceicao;Linha do Alentejo
Sintra;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;Linha de Sintra
Alcacovas;Evora;Evora;N. S. da Tourega e N. S. de Guadalupe;Linha do Alentejo
Coimbroes;Porto;Vila Nova de Gaia;Canidelo;Linha do Norte
Pataias;Leiria;Alcobaca;Pataias e Martinganca;Linha do Oeste
